Size,Source,Dest,Rule
17305143594,Takeout\takeout-20231208T194859Z-001.tgz,ARCHIVOS\Takeout\takeout-20231208T194859Z-001.tgz,takeout
3143687347,Takeout\takeout-20231208T194859Z-002.tgz,ARCHIVOS\Takeout\takeout-20231208T194859Z-002.tgz,takeout
11900220641,"Takeout\Todo el correo, incluido Spam y Papelera-002.mbox","ARCHIVOS\Takeout\Todo el correo, incluido Spam y Papelera-002.mbox",takeout
526659289,Takeout\takeout-20231129T200408Z-009.zip,ARCHIVOS\Takeout\takeout-20231129T200408Z-009.zip,takeout
888208,Nueva Carpeta (C)\(backup celu)\Android\data\app.organicmaps\files\icudt70l.dat,MOBILE\AndroidData\data\app.organicmaps\files\icudt70l.dat,mobile-anchor-AndroidData
76276707,Nueva Carpeta (C)\(backup celu)\Android\data\app.organicmaps\files\230503\Argentina_Patagonia.mwm,MOBILE\AndroidData\data\app.organicmaps\files\230503\Argentina_Patagonia.mwm,mobile-anchor-AndroidData
98203802,Nueva Carpeta (C)\(backup celu)\Android\data\app.organicmaps\files\230503\Chile_Central.mwm,MOBILE\AndroidData\data\app.organicmaps\files\230503\Chile_Central.mwm,mobile-anchor-AndroidData
158272761,Nueva Carpeta (C)\(backup celu)\Android\data\app.organicmaps\files\230503\Chile_South.mwm,MOBILE\AndroidData\data\app.organicmaps\files\230503\Chile_South.mwm,mobile-anchor-AndroidData
3842105,Nueva Carpeta (C)\(backup celu)\DCIM\Camera\IMG_20230512_230355_342.jpg,MOBILE\Camera\IMG_20230512_230355_342.jpg,mobile-anchor-Camera
3879434,Nueva Carpeta (C)\(backup celu)\DCIM\Camera\IMG_20230512_230401_462.jpg,MOBILE\Camera\IMG_20230512_230401_462.jpg,mobile-anchor-Camera
1785313,Nueva Carpeta (C)\(backup celu)\DCIM\Camera\PXL_20230513_020042277.NIGHT.jpg,MOBILE\Camera\PXL_20230513_020042277.NIGHT.jpg,mobile-anchor-Camera
2013829,Nueva Carpeta (C)\(backup celu)\DCIM\Camera\PXL_20230513_020110528.NIGHT.jpg,MOBILE\Camera\PXL_20230513_020110528.NIGHT.jpg,mobile-anchor-Camera
5878,Nueva Carpeta (C)\(backup celu)\Documents\belseth.braulio@betaX.com__ssl_vpn_config.ovpn,MOBILE\Documents\belseth.braulio@betaX.com__ssl_vpn_config.ovpn,mobile-anchor-Documents
448835,Nueva Carpeta (C)\(backup celu)\IMG_20230513_123959_HDR.7z,MOBILE\Downloads\IMG_20230513_123959_HDR.7z,mobile-loose-Downloads
141898,Nueva Carpeta (C)\(backup celu)\Download\-5886218100842545176_121.jpg,MOBILE\Downloads\-5886218100842545176_121.jpg,mobile-anchor-Downloads
33739,Nueva Carpeta (C)\(backup celu)\Download\01.png,MOBILE\Downloads\01.png,mobile-anchor-Downloads
36812,Nueva Carpeta (C)\(backup celu)\Download\02.png,MOBILE\Downloads\02.png,mobile-anchor-Downloads
1335000,Nueva Carpeta (C)\(backup celu)\EditedOnlinePhotos\IMG_20230814_161032.jpg,MOBILE\Pictures\IMG_20230814_161032.jpg,mobile-anchor-Pictures
38025,Nueva Carpeta (C)\(backup celu)\EditedOnlinePhotos\IMG_20231019_221335.jpg,MOBILE\Pictures\IMG_20231019_221335.jpg,mobile-anchor-Pictures
25337,Nueva Carpeta (C)\(backup celu)\EditedOnlinePhotos\IMG_20231124_125919.jpg,MOBILE\Pictures\IMG_20231124_125919.jpg,mobile-anchor-Pictures
